carrier,AT,BE,CH,CZ,DE,DK,FR,GB,LU,NL,NO,PL,SE
CCGT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OCGT,2.8192,4.5323,0.0,0.0,22.8885365,1.1032,6.116,29.872722432099998,0.0,9.1511,0.604,2.125,1.091
biomass,0.0,0.268,0.0860862,0.0,8.004647826000001,0.115,0.7703354499999999,6.725599999999998,0.0073895,0.0,0.0,0.0,0.0
coal,0.0,0.0,0.0,0.050706532610974575,8.15822012862753,2.0680851522099615,0.0,3.374263387069971,0.0,4.594994952358631,0.0,7.722406735117322,0.0
geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lignite,0.0,0.0,0.0,0.8594343651254062,20.999170197286883,0.0,0.0,0.0,0.0,0.0,0.0,0.9903782276230539,0.0
load,1000000.0,1000000.0,1000000.0,1000000.0,6000000.0,2000000.0,1000000.0,2000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
nuclear,0.0,5.919,2.97,0.0,0.0,0.0,57.71,10.138,0.0,0.0,0.0,0.0,8.617
offwind-ac,0.0,0.863492467771,0.0,0.0,1.45535,1.06495,0.0,5.0756499999999996,0.0,0.0,0.0,4.880382629710001,0.25577500000000003
offwind-dc,0.0,0.07656419400074838,0.0,0.0,1.4372027634400557,0.63585,0.0,4.61705,0.0,0.0,0.0,3.6683885743099998,0.025375
oil,0.0,0.1586,0.0,0.0,0.8563,0.0,0.254,0.0,0.0,0.0,0.0,0.050948452249435124,0.0
onwind,0.0,14.419226481399999,0.048923,0.0,131.6211135,18.183344811864174,14.04329831,61.63874602201965,0.7116065348917681,36.9555716108806,0.0,40.707888198260314,13.25969
ror,4.8025,0.07987619657813644,4.075749999999999,0.0,2.77560335,0.0,6.6443491494216635,8.787,0.030899999999999997,0.0,0.8925,0.182400368779544,1.279
solar,36.2150111955407,0.0,0.60420737,97.64033878282017,50.21644034329,0.5378014000000001,55.984355744,8.446299999999999,7.61875512722,0.0,0.0,33.5877985175,0.0
H2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHS,5.057300000000001,1.308,5.089549999999999,0.0,7.59922,0.0,4.9763,0.44,2.585,0.0,0.2823,1.798,0.092
battery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydro,3.6006199999999997,0.012782802547770691,9.724410000000002,0.0,0.2895,0.0,8.32949299363057,0.2283,0.0,0.0,28.416274200000004,0.14010191082802548,10.784186624932511
AC,11.962109999971524,18.363298326690682,9.74174656209,7.310698601320061,249.3692730479721,3.39620522348,0.0,0.0,0.0,0.0,7.28396646615,0.0,0.0
DC,0.0,0.0,0.0,0.0,9.49615856315,0.6,0.0,12.21609326345261,0.0,0.7,7.935047330710836,2.5408356772799996,0.55
